No.;Tahun;Jenis Hutan;Nama PBPH;Luas PBPH;Target Produksi RKTPH Murni Luas (Ha);Target Produksi RKTPH Murni Volume (M3);Target Produksi RKTPH Carry Over Luas (Ha);Target Produksi RKTPH Carry Over Volume (M3);Target Produksi RKTPH Jumlah Luas (Ha);Target Produksi RKTPH Jumlah Volume (M3);Realisasi Produksi RKTPH Alam Volume (M3);Realisasi Produksi RKTPH Tanaman Volume (M3);Realisasi Produksi RKTPH Jumlah Volume (M3);Prosentase;Keterangan
85;2022;Hutan Tanaman;PT. Hutan Berau Lestari;12.002,00;1.915,00;44.211,65;0;0;1.915,00;44.211,65;6.072,57;0;6.072,57;13,74%;Tidak Ada
86;2022;Hutan Tanaman;PT. Hanujaya Hutanindo;13.900,00;2.368,90;15.050,52;0;0;2.368,90;15.050,52;2.513,63;0;2.513,63;16,70%;Tidak Ada
87;2022;Hutan Tanaman;PT. Silva Selaras Utama;35.640,00;2.064,59;128.554,68;0;0;2.064,59;128.554,68;338,12;0;338,12;0,26%;Tidak Ada
88;2022;Hutan Tanaman;PT. Hutan Mahligai;11.275,00;1.836,00;83.184,94;0;0;1.836,00;83.184,94;0;0;0;0,00%;Tidak Ada
89;2022;Hutan Tanaman;PT. Bhinneka Wana;9.945,00;0;0;808,5;182.818,41;808,5;182.818,41;0;504;504;0,28%;Tidak Ada
90;2022;Hutan Tanaman;PT. Wana Kaltim Lestari;15.825,21;1.321,00;21.179,16;0;0;1.321,00;21.179,16;8.373,46;0;8.373,46;39,54%;Tidak Ada
91;2022;Hutan Tanaman;PT. ITCI Hutani Manunggal;114.830,00;9.437,00;875.278,00;0;0;9.437,00;875.278,00;0;480.744,38;480.744,38;54,92%;Tidak Ada
92;2022;Hutan Tanaman;PT. Rimba Raya Lestari;17.330,00;876;31.798,48;1.565,00;69.062,78;2.441,00;100.861,26;315,87;0;315,87;0,31%;Tidak Ada
93;2022;Hutan Tanaman;PT. Sendawar Adhi Karya;25.400,00;19.077,60;1.701.968,62;0;0;19.077,60;1.701.968,62;17.864,76;0;17.864,76;1,05%;Tidak Ada
94;2022;Hutan Tanaman;PT. Permata Borneo Abadi;49.000,00;7.425,00;29.395,35;0;0;7.425,00;29.395,35;2.895,08;0;2.895,08;9,85%;Tidak Ada
95;2022;Hutan Tanaman;PT. Santan Borneo Abadi;32.825,00;4.586,10;0;1.219,28;0;5.805,38;0;0;253.466,38;253.466,38;0%;Tidak Ada
96;2022;Hutan Tanaman;PT. Oceanias Timber Products;16.600,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
97;2022;Hutan Tanaman;PT. Puji Sempurna Raharja;8.100,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
98;2022;Hutan Tanaman;PT. Borneo Kutai Lestari;13.240,00;0;0;2.745,34;35.345,44;2.745,34;35.345,44;0;0;0;0,00%;Tidak Ada
99;2022;Hutan Tanaman;PT. Inhutani I Unit Long Nah;48.215,00;4.035,00;6.200,78;902,86;116,59;4.937,86;6.317,37;1.572,98;0;1.572,98;24,90%;Tidak Ada
100;2022;Hutan Tanaman;PT. Mitra Mulia Mahakam;10.350,00;1.307,13;13.290,84;0;0;1.307,13;13.290,84;4.114,28;0;4.114,28;30,96%;Tidak Ada
101;2022;Hutan Tanaman;PT. Inhutani I (Unit Tanah Grogot);15.336,00;561;57.640,00;653;65.300,00;1.214,00;122.940,00;0;1.015,04;1.015,04;0,83%;Tidak Ada
102;2022;Hutan Tanaman;PT. Bakayan Jaya Abadi;9.055,00;912,5;46.815,09;0;0;912,5;46.815,09;25.550,69;0;25.550,69;54,58%;Tidak Ada
103;2022;Hutan Tanaman;PT. Sumalindo Alam Lestari Unit I;32.550,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
104;2022;Hutan Tanaman;PT. Sumalindo Alam Lestari Unit II;24.500,00;403,15;24.190,34;168,27;4.779,22;571,42;28.969,56;0;6.272,00;6.272,00;21,65%;Tidak Ada
105;2022;Hutan Tanaman;PT. Permata Hijau Khatulistiwa;25.465,00;2.752,30;0;0;0;2.752,30;0;0;26.651,71;26.651,71;0%;Tidak Ada
106;2022;Hutan Tanaman;PT. Hutan Kusuma;14.235,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
107;2022;Hutan Tanaman;PT. Surya Hutani Jaya;183.300,00;21.007,00;1.888.688,00;0;0;21.007,00;1.888.688,00;0;1.108.589,91;1.108.589,91;58,70%;Tidak Ada
108;2022;Hutan Tanaman;PT. Jaya Bumi Paser;23.590,00;5.001,00;51.324,00;0;0;5.001,00;51.324,00;7.884,07;0;7.884,07;15,36%;Tidak Ada
109;2022;Hutan Tanaman;PT. Akandra Hijau Lestari;17.835,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
110;2022;Hutan Tanaman;PT. Inhutani I Unit Batu Ampar - Mentawir;16.521,00;514;850,78;3.468,79;5.424,80;3.982,79;6.275,58;0;0;0;0,00%;Tidak Ada
111;2022;Hutan Tanaman;PT. Kelawit Wanalestari I;17.850,00;201;16.608,00;0;0;201;16.608,00;0;0;0;0,00%;Tidak Ada
112;2023;Hutan Alam;Koperasi. Pondok Pesantren Darussalam;20.159,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
113;2023;Hutan Alam;PT. Karya Wijaya Sukses;17.885,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
114;2023;Hutan Alam;PT. Nadila Indodaya;32.970,00;889,08;12.131,96;0;0;889,08;12.131,96;8.787,47;0;8.787,47;72,43%;Tidak Ada
115;2023;Hutan Alam;PT. Borneo Karya Indah Mandiri;47.395,00;1.357,00;17.429,59;0;0;1.357,00;17.429,59;11.067,31;0;11.067,31;63,50%;Tidak Ada
116;2023;Hutan Alam;PT. Wangsa Karya Lestari;38.880,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
117;2023;Hutan Alam;PT. Greaty Sukses Abadi Unit Sungai Telakai;34.865,00;962;18.748,67;0;0;962;18.748,67;14.602,48;0;14.602,48;77,89%;Tidak Ada
